'RawData - Storage 161900 - 0.5ml.spc'
'Wavelength nm.','Abs.'
599.50,0.165
600.00,0.164
600.50,0.163
601.00,0.162
601.50,0.162
602.00,0.161
602.50,0.160
603.00,0.160
603.50,0.159
604.00,0.158
604.50,0.157
605.00,0.157
605.50,0.156
606.00,0.155
606.50,0.155
607.00,0.154
607.50,0.153
608.00,0.153
608.50,0.152
609.00,0.152
609.50,0.151
610.00,0.150
610.50,0.150
611.00,0.149
611.50,0.148
612.00,0.148
612.50,0.147
613.00,0.147
613.50,0.146
614.00,0.145
614.50,0.145
615.00,0.144
615.50,0.144
616.00,0.143
616.50,0.143
617.00,0.142
617.50,0.141
618.00,0.141
618.50,0.140
619.00,0.140
619.50,0.139
620.00,0.139
620.50,0.138
621.00,0.138
621.50,0.137
622.00,0.136
622.50,0.136
623.00,0.135
623.50,0.135
624.00,0.134
624.50,0.134
625.00,0.133
625.50,0.133
626.00,0.132
626.50,0.132
627.00,0.131
627.50,0.131
628.00,0.130
628.50,0.130
629.00,0.129
629.50,0.129
630.00,0.128
630.50,0.128
631.00,0.127
631.50,0.127
632.00,0.127
632.50,0.126
633.00,0.126
633.50,0.125
634.00,0.125
634.50,0.124
635.00,0.124
635.50,0.123
636.00,0.123
636.50,0.122
637.00,0.122
637.50,0.121
638.00,0.121
638.50,0.120
639.00,0.120
639.50,0.120
640.00,0.119
640.50,0.119
641.00,0.118
641.50,0.118
642.00,0.117
642.50,0.117
643.00,0.117
643.50,0.116
644.00,0.116
644.50,0.115
645.00,0.115
645.50,0.115
646.00,0.114
646.50,0.114
647.00,0.113
647.50,0.113
648.00,0.113
648.50,0.112
649.00,0.112
649.50,0.112
650.00,0.111
650.50,0.111
651.00,0.111
651.50,0.110
652.00,0.110
652.50,0.109
653.00,0.109
653.50,0.109
654.00,0.108
654.50,0.108
655.00,0.108
655.50,0.107
656.00,0.107
656.50,0.107
657.00,0.106
657.50,0.106
658.00,0.106
658.50,0.105
659.00,0.105
659.50,0.105
660.00,0.104
660.50,0.104
661.00,0.104
661.50,0.103
662.00,0.103
662.50,0.103
663.00,0.102
663.50,0.102
664.00,0.102
664.50,0.102
665.00,0.101
665.50,0.101
666.00,0.101
666.50,0.100
667.00,0.100
667.50,0.100
668.00,0.099
668.50,0.099
669.00,0.099
669.50,0.099
670.00,0.098
670.50,0.098
671.00,0.098
671.50,0.097
672.00,0.097
672.50,0.097
673.00,0.096
673.50,0.096
674.00,0.096
674.50,0.096
675.00,0.095
675.50,0.095
676.00,0.095
676.50,0.094
677.00,0.094
677.50,0.094
678.00,0.094
678.50,0.093
679.00,0.093
679.50,0.093
680.00,0.092
680.50,0.092
681.00,0.092
681.50,0.092
682.00,0.091
682.50,0.091
683.00,0.091
683.50,0.090
684.00,0.090
684.50,0.090
685.00,0.090
685.50,0.089
686.00,0.089
686.50,0.089
687.00,0.089
687.50,0.088
688.00,0.088
688.50,0.088
689.00,0.088
689.50,0.087
690.00,0.087
690.50,0.087
691.00,0.087
691.50,0.086
692.00,0.086
692.50,0.086
693.00,0.086
693.50,0.085
694.00,0.085
694.50,0.085
695.00,0.085
695.50,0.084
696.00,0.084
696.50,0.084
697.00,0.084
697.50,0.083
698.00,0.083
698.50,0.083
699.00,0.083
699.50,0.082
700.00,0.082
700.50,0.082
701.00,0.082
701.50,0.081
702.00,0.081
702.50,0.081
703.00,0.081
703.50,0.080
704.00,0.080
704.50,0.080
705.00,0.080
705.50,0.079
706.00,0.079
706.50,0.079
707.00,0.079
707.50,0.079
708.00,0.078
708.50,0.078
709.00,0.078
709.50,0.078
710.00,0.077
710.50,0.077
711.00,0.077
711.50,0.077
712.00,0.077
712.50,0.076
713.00,0.076
713.50,0.076
714.00,0.076
714.50,0.076
715.00,0.075
715.50,0.075
716.00,0.075
716.50,0.075
717.00,0.075
717.50,0.074
718.00,0.074
718.50,0.074
719.00,0.074
719.50,0.074
720.00,0.073
720.50,0.073
721.00,0.073
721.50,0.073
722.00,0.073
722.50,0.073
723.00,0.072
723.50,0.072
724.00,0.072
724.50,0.072
725.00,0.072
725.50,0.071
726.00,0.071
726.50,0.071
727.00,0.071
727.50,0.071
728.00,0.071
728.50,0.070
729.00,0.070
729.50,0.070
730.00,0.070
730.50,0.070
731.00,0.070
731.50,0.069
732.00,0.069
732.50,0.069
733.00,0.069
733.50,0.069
734.00,0.069
734.50,0.068
735.00,0.068
735.50,0.068
736.00,0.068
736.50,0.068
737.00,0.068
737.50,0.067
738.00,0.067
738.50,0.067
739.00,0.067
739.50,0.067
740.00,0.067
740.50,0.066
741.00,0.066
741.50,0.066
742.00,0.066
742.50,0.066
743.00,0.066
743.50,0.065
744.00,0.065
744.50,0.065
745.00,0.065
745.50,0.065
746.00,0.064
746.50,0.064
747.00,0.064
747.50,0.064
748.00,0.064
748.50,0.064
749.00,0.063
749.50,0.063
750.00,0.063
750.50,0.063
751.00,0.063
751.50,0.062
752.00,0.062
752.50,0.062
753.00,0.062
753.50,0.062
754.00,0.062
754.50,0.061
755.00,0.061
755.50,0.061
756.00,0.061
756.50,0.061
757.00,0.060
757.50,0.060
758.00,0.060
758.50,0.060
759.00,0.060
759.50,0.060
760.00,0.059
