'RawData - Storage 160111 - 2ml_diluted2.spc'
'Wavelength nm.','Abs.'
726.00,0.089
726.50,0.089
727.00,0.089
727.50,0.088
728.00,0.088
728.50,0.088
729.00,0.088
729.50,0.088
730.00,0.088
730.50,0.087
731.00,0.087
731.50,0.087
732.00,0.087
732.50,0.087
733.00,0.086
733.50,0.086
734.00,0.086
734.50,0.086
735.00,0.086
735.50,0.085
736.00,0.085
736.50,0.085
737.00,0.085
737.50,0.085
738.00,0.084
738.50,0.084
739.00,0.084
739.50,0.084
740.00,0.084
740.50,0.084
741.00,0.083
741.50,0.083
742.00,0.083
742.50,0.083
743.00,0.083
743.50,0.083
744.00,0.082
744.50,0.082
745.00,0.082
745.50,0.082
746.00,0.082
746.50,0.081
747.00,0.081
747.50,0.081
748.00,0.081
748.50,0.081
749.00,0.080
749.50,0.080
750.00,0.080
750.50,0.080
751.00,0.080
751.50,0.080
752.00,0.079
752.50,0.079
753.00,0.079
753.50,0.079
754.00,0.079
754.50,0.078
755.00,0.078
755.50,0.078
756.00,0.078
756.50,0.078
757.00,0.078
757.50,0.077
758.00,0.077
758.50,0.077
759.00,0.077
759.50,0.077
760.00,0.077
760.50,0.077
761.00,0.076
761.50,0.076
762.00,0.076
762.50,0.076
763.00,0.076
763.50,0.076
764.00,0.076
764.50,0.075
765.00,0.075
765.50,0.075
766.00,0.075
766.50,0.075
767.00,0.075
767.50,0.074
768.00,0.074
768.50,0.074
769.00,0.074
769.50,0.074
770.00,0.074
770.50,0.074
771.00,0.074
771.50,0.073
772.00,0.073
772.50,0.073
773.00,0.073
773.50,0.073
774.00,0.073
774.50,0.072
775.00,0.072
775.50,0.072
776.00,0.072
776.50,0.072
777.00,0.072
777.50,0.072
778.00,0.071
778.50,0.071
779.00,0.071
779.50,0.071
780.00,0.071
780.50,0.071
781.00,0.071
781.50,0.070
782.00,0.070
782.50,0.070
783.00,0.070
783.50,0.070
784.00,0.070
784.50,0.070
785.00,0.069
785.50,0.069
786.00,0.069
786.50,0.069
787.00,0.069
787.50,0.069
788.00,0.069
788.50,0.069
789.00,0.068
789.50,0.068
790.00,0.068
790.50,0.068
791.00,0.068
791.50,0.068
792.00,0.068
792.50,0.067
793.00,0.067
793.50,0.067
794.00,0.067
794.50,0.067
795.00,0.067
795.50,0.067
796.00,0.067
796.50,0.066
797.00,0.066
797.50,0.066
798.00,0.066
798.50,0.066
799.00,0.066
799.50,0.066
800.00,0.066
